user,day,login_count,after_hours_logins,usb_events,files_accessed,unique_files,websites_visited,unique_domains,wikileaks_visits,job_site_visits,keylogger_downloads,email_count,email_size,attachments,risk_level,triggered_rules,rule_count,rule_score,rank
LQC0479,2010-09-14,6,2,14.0,22.0,22.0,165.0,49.0,1.0,5.0,0.0,15.0,399589.0,0.0,ALERT,Scenario 1: after-hours USB use with WikiLeaks upload; Scenario 2: job search followed by high USB activity; High web and usb activity,3,9,1
MSO0222,2010-12-09,14,6,4.0,1.0,1.0,117.0,49.0,0.0,9.0,1.0,13.0,435412.0,0.0,ALERT,Scenario 2: job search followed by high USB activity; Scenario 3: keylogger activity with abnormal email behavior,2,8,2
BTL0226,2010-10-06,7,2,8.0,1.0,1.0,98.0,36.0,1.0,2.0,0.0,9.0,334749.0,0.0,ALERT,Scenario 1: after-hours USB use with WikiLeaks upload; Scenario 2: job search followed by high USB activity,2,7,3
CCA0046,2010-10-14,12,4,16.0,12.0,12.0,123.0,32.0,0.0,0.0,5.0,13.0,354595.0,7.0,ALERT,Scenario 3: keylogger activity with abnormal email behavior; High web and usb activity,2,7,4
MPM0220,2010-11-04,11,2,24.0,24.0,24.0,120.0,37.0,0.0,0.0,5.0,13.0,435458.0,1.0,ALERT,Scenario 3: keylogger activity with abnormal email behavior; High web and usb activity,2,7,5
AJN0607,2010-09-01,3,0,6.0,3.0,3.0,162.0,47.0,0.0,1.0,0.0,15.0,421715.0,1.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,6
ATP0662,2010-09-01,3,0,6.0,0.0,0.0,143.0,48.0,0.0,9.0,0.0,13.0,429688.0,13.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,7
BAL0044,2010-09-01,11,0,8.0,9.0,9.0,120.0,40.0,0.0,1.0,0.0,11.0,386812.0,12.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,8
BSS0369,2010-09-01,8,6,24.0,9.0,9.0,120.0,41.0,0.0,9.0,0.0,10.0,279781.0,0.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,9
CCA0046,2010-09-01,10,3,10.0,1.0,1.0,114.0,31.0,0.0,8.0,0.0,11.0,313510.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,10
DLM0051,2010-09-01,3,0,18.0,24.0,24.0,190.0,52.0,0.0,10.0,0.0,18.0,593977.0,10.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,11
DRR0162,2010-09-01,2,0,6.0,2.0,2.0,114.0,44.0,0.0,2.0,0.0,11.0,318221.0,2.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,12
HDS0367,2010-09-01,7,2,6.0,7.0,7.0,114.0,44.0,0.0,7.0,0.0,11.0,301941.0,4.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,13
HPH0075,2010-09-01,3,0,18.0,23.0,23.0,180.0,52.0,0.0,8.0,0.0,17.0,570311.0,9.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,14
IBB0359,2010-09-01,13,6,24.0,10.0,10.0,114.0,45.0,0.0,5.0,0.0,11.0,329772.0,8.0,ALERT,Scenario 2: job search followed by high USB activity; High web and usb activity,2,5,15
